Isolate,BioSample,Assembly,amoxicillin-clavulanic acid,cefepime,cefoxitin,ceftazidime,ceftriaxone,ciprofloxacin,gentamicin,levofloxacin,piperacillin-tazobactam,tetracycline,tobramycin,trimethoprim-sulfamethoxazole
PDT001830784.1,SAMN36728983,GCA_032331915.1,S,S,S,S,R,R,S,R,S,R,S,R
PDT001830786.1,SAMN36728981,GCA_032331935.1,I,S,R,S,R,S,S,S,S,S,S,S
PDT001830794.1,SAMN36728949,GCA_032331875.1,R,R,R,R,R,R,S,R,S,R,R,R
PDT001830796.1,SAMN36728947,GCA_032331835.1,S,S,S,S,S,R,S,R,S,S,S,S
PDT001830798.1,SAMN36728944,GCA_032331795.1,S,S,S,S,R,R,S,R,S,R,S,R
PDT001830801.1,SAMN36728941,GCA_032331715.1,S,S,S,R,R,R,S,R,S,R,S,R
PDT001830803.1,SAMN36728895,GCA_032331735.1,I,R,S,R,R,R,R,R,S,R,R,R
PDT001830804.1,SAMN36728938,GCA_032331675.1,S,R,I,R,R,R,S,R,R,R,S,R
PDT001830811.1,SAMN36728930,GCA_032331615.1,S,R,S,R,R,I,S,I,S,S,S,S
PDT001830813.1,SAMN36728929,GCA_032331575.1,S,S,S,S,R,R,S,R,S,R,S,R
PDT001830814.1,SAMN36728928,GCA_032331595.1,S,S,S,R,R,R,S,R,S,R,S,R
PDT001830818.2,SAMN36729189,GCA_031776415.1,S,S,S,S,R,I,S,I,S,S,S,S
PDT001830822.2,SAMN36729185,GCA_031776375.1,R,S,R,R,R,S,S,S,S,R,S,R
PDT001830823.1,SAMN36729184,GCA_032331555.1,S,S,S,S,S,S,S,S,S,S,S,S
PDT001830824.1,SAMN36729183,GCA_032331455.1,I,S,S,S,R,R,S,R,R,R,S,S
PDT001830825.2,SAMN36729182,GCA_031776305.1,S,R,S,R,R,R,S,R,S,S,S,S
PDT001830826.1,SAMN36729181,GCA_032331435.1,S,S,S,R,R,R,S,R,S,R,S,R
PDT001830831.1,SAMN36729177,GCA_032331395.1,R,R,R,R,R,R,S,R,I,R,R,R
PDT001830836.1,SAMN36729172,GCA_032331335.1,S,S,S,R,R,S,S,S,S,S,S,S
PDT001830840.1,SAMN36729169,GCA_032331275.1,S,S,S,S,R,I,S,I,S,S,S,R
PDT001830842.1,SAMN36729116,GCA_032331255.1,S,S,S,S,R,R,S,R,S,S,S,S
PDT001830843.1,SAMN36729115,GCA_032331235.1,S,S,S,S,R,R,S,R,S,R,S,R
PDT001830844.1,SAMN36729114,GCA_032331215.1,R,S,R,S,R,I,S,I,S,R,S,R
PDT001830845.3,SAMN36729113,GCA_033200495.1,S,S,S,S,R,R,S,I,S,S,S,S
PDT001830846.1,SAMN36729112,GCA_032331195.1,S,S,S,S,R,S,S,S,S,S,S,S
PDT001830848.1,SAMN36729110,GCA_032331155.1,S,S,I,S,R,R,S,R,S,S,S,R
PDT001830849.1,SAMN36728912,GCA_032331135.1,S,S,S,S,S,R,S,S,S,R,S,S
PDT001830853.1,SAMN36729106,GCA_032331095.1,R,S,R,R,R,S,S,S,S,R,S,S
PDT001830854.1,SAMN36729104,GCA_032331075.1,S,S,S,S,S,S,S,R,S,R,S,S
PDT001830856.1,SAMN36729102,GCA_032331055.1,S,S,S,R,R,S,S,S,S,R,S,S
