Isolate,BioSample,Assembly,amoxicillin-clavulanic acid,cefepime,cefoxitin,ceftazidime,ceftriaxone,ciprofloxacin,gentamicin,levofloxacin,piperacillin-tazobactam,tetracycline,tobramycin,trimethoprim-sulfamethoxazole
PDT001830983.1,SAMN36729131,GCA_032329275.1,S,S,S,R,R,R,S,R,S,R,S,S
PDT001830987.1,SAMN36729127,GCA_032329375.1,S,S,S,S,R,R,S,R,S,R,S,R
PDT001830989.1,SAMN36729125,GCA_032329255.1,S,S,S,R,R,R,S,R,S,R,S,R
PDT001830991.1,SAMN36729122,GCA_032329215.1,S,S,S,S,R,S,S,S,S,R,S,S
PDT001830992.1,SAMN36729121,GCA_032329175.1,S,S,S,S,R,R,S,R,S,R,S,R
PDT001830994.1,SAMN36729119,GCA_032329155.1,R,S,R,R,R,R,S,R,S,S,S,S
PDT001830995.1,SAMN36729118,GCA_032329135.1,S,S,S,S,S,S,S,S,S,S,S,S
PDT001830999.2,SAMN36729013,GCA_031775895.1,R,S,R,R,R,R,R,R,R,R,R,S
PDT001831001.1,SAMN36729011,GCA_032329055.1,S,S,I,R,R,R,S,R,S,R,S,S
PDT001831002.1,SAMN36729010,GCA_032329035.1,R,S,R,R,R,R,R,R,S,R,I,R
PDT001831005.1,SAMN36729008,GCA_032329015.1,I,S,S,R,R,R,R,R,S,S,I,R
PDT001831013.1,SAMN36729000,GCA_032328935.1,S,S,S,S,R,R,S,R,S,S,S,S
PDT001831014.1,SAMN36728901,GCA_032328895.1,I,S,R,R,R,R,R,R,S,R,R,R
PDT001831019.1,SAMN36728995,GCA_032328835.1,S,S,S,S,S,R,R,S,S,S,S,R
PDT001831020.1,SAMN36728994,GCA_032328795.1,S,S,S,S,S,S,S,S,S,S,S,R
PDT001831022.1,SAMN36728992,GCA_032328775.1,S,S,S,R,R,S,S,I,S,S,S,S
PDT001831023.2,SAMN36728991,GCA_031775865.1,I,S,S,R,R,R,S,R,S,R,S,S
PDT001831025.1,SAMN36728891,GCA_032328735.1,S,S,S,S,R,R,S,R,S,R,S,R
PDT001831026.1,SAMN36728890,GCA_032328745.1,S,S,S,S,R,R,S,R,S,R,S,R
PDT001831029.1,SAMN36729213,GCA_032328635.1,S,S,S,S,S,S,S,S,S,R,S,S
PDT001831033.2,SAMN36729202,GCA_031775775.1,S,S,S,R,R,R,R,I,S,R,I,R
PDT001831034.2,SAMN36729201,GCA_031775735.1,R,S,R,R,R,S,S,S,S,S,S,S
PDT001831036.1,SAMN36729199,GCA_032328495.1,S,S,S,R,R,R,S,R,S,S,S,R
PDT001831037.2,SAMN36729197,GCA_031775675.1,S,S,S,S,S,S,S,S,S,S,S,S
PDT001831038.1,SAMN36729196,GCA_032328505.1,S,S,S,S,R,I,S,I,S,S,S,S
PDT001831057.1,SAMN36729162,GCA_032328175.1,S,S,S,S,R,S,S,S,S,S,S,S
PDT001831063.1,SAMN36728914,GCA_032328155.1,S,S,S,S,R,R,S,R,S,S,S,S
PDT001831064.1,SAMN36729120,GCA_032328135.1,S,S,S,S,R,I,S,I,S,S,S,S
PDT001831069.1,SAMN36729209,GCA_032328115.1,S,S,S,S,S,R,R,R,S,S,I,S
PDT001831070.1,SAMN36729208,GCA_032328095.1,I,S,S,R,R,I,S,I,S,S,S,S
PDT001831073.1,SAMN36728921,GCA_032328055.1,S,S,S,R,R,R,S,I,S,R,S,R
PDT001845606.1,SAMN36892918,GCA_031835315.1,R,S,R,R,R,S,S,S,R,R,S,S
PDT001845634.1,SAMN36892891,GCA_031835205.1,R,S,R,R,R,R,R,R,S,R,I,R
PDT001845645.1,SAMN36892881,GCA_031835125.1,R,S,R,R,R,R,R,R,S,R,I,R
PDT001845661.2,SAMN36892847,GCA_031766855.1,R,S,S,S,R,R,S,R,R,R,R,R
PDT001903535.1,SAMN37516952,GCA_032124735.1,S,S,S,S,R,S,S,S,S,R,S,S
PDT001903542.1,SAMN37516945,GCA_032123195.1,S,S,S,I,R,R,S,R,S,R,S,R
PDT001903544.1,SAMN37516943,GCA_032123155.1,S,S,S,S,R,R,S,R,S,S,S,R
PDT001903545.1,SAMN37516880,GCA_032123075.1,S,S,S,S,R,R,S,R,S,R,S,S
PDT001903547.1,SAMN37516941,GCA_032123115.1,S,S,S,S,R,R,S,R,S,R,S,R
PDT001903550.1,SAMN37516938,GCA_032123055.1,S,S,S,S,R,R,S,R,S,R,S,S
PDT001903552.1,SAMN37516936,GCA_032122895.1,S,R,S,R,R,R,R,R,R,S,R,R
PDT001903555.1,SAMN37516933,GCA_032122675.1,S,S,S,R,R,R,S,R,S,R,S,S
PDT001903556.1,SAMN37516879,GCA_032122695.1,S,R,S,R,R,R,S,I,S,S,S,S
PDT001903562.1,SAMN37516927,GCA_032182105.1,S,S,S,S,R,S,S,I,S,R,S,R
PDT001903563.1,SAMN37516926,GCA_032182125.1,S,S,S,R,R,S,S,I,S,R,S,R
PDT001903565.1,SAMN37516924,GCA_032182045.1,I,S,S,S,R,R,R,R,S,R,R,S
PDT001903566.1,SAMN37516923,GCA_032182065.1,I,S,R,S,R,R,R,R,S,R,R,S
PDT001903567.1,SAMN37516878,GCA_032122055.1,S,S,S,S,R,R,R,R,S,S,I,R
PDT001903570.1,SAMN37516920,GCA_032121955.1,S,S,S,S,R,S,S,S,S,S,S,S
PDT001903573.1,SAMN37516917,GCA_032121815.1,S,R,S,R,R,I,S,I,S,S,S,S
PDT001903577.1,SAMN37516877,GCA_032121675.1,S,S,S,R,R,R,R,R,S,R,I,R
PDT001903586.1,SAMN37516876,GCA_032121315.1,I,S,S,S,R,R,R,R,S,R,R,R
PDT001903587.1,SAMN37516902,GCA_032121275.1,S,S,S,S,R,S,S,I,S,S,S,S
PDT001903592.1,SAMN37516897,GCA_032121125.1,S,R,I,R,R,R,S,R,S,S,S,S
PDT001903593.1,SAMN37516895,GCA_032121115.1,S,S,S,S,R,R,R,I,S,R,I,R
PDT001903595.1,SAMN37516893,GCA_032120615.1,S,S,S,S,R,R,S,R,S,S,S,S
PDT001903598.1,SAMN37516890,GCA_032120495.1,S,S,S,S,R,I,S,I,S,S,S,R
PDT001903599.1,SAMN37516889,GCA_032120475.1,I,S,R,R,R,R,S,R,S,S,R,S
PDT001903601.1,SAMN37516887,GCA_032120375.1,I,S,S,S,R,R,S,R,S,R,R,R
PDT001903602.1,SAMN37516886,GCA_032120315.1,S,S,S,S,R,S,S,S,S,S,S,S
PDT001903605.1,SAMN37516873,GCA_032120155.1,S,S,S,S,R,R,S,R,S,R,S,R
PDT001986206.2,SAMN38228875,GCA_034514735.1,S,S,S,R,R,I,S,I,S,S,S,S
PDT001986210.2,SAMN38228870,GCA_034515745.1,S,S,S,S,R,R,S,R,S,S,S,R
PDT001986222.2,SAMN38228858,GCA_034515725.1,R,S,R,R,R,R,S,R,S,R,R,R
PDT001986224.2,SAMN38228857,GCA_034515625.1,R,S,S,S,S,S,R,S,S,I,R,S
PDT001986225.2,SAMN38228856,GCA_034516625.1,S,R,S,R,R,R,S,R,S,R,S,S
PDT001986233.1,SAMN38228846,GCA_033726735.1,S,S,S,S,R,R,S,R,S,R,S,S
PDT001986244.1,SAMN38228833,GCA_033726615.1,S,S,S,S,R,R,R,R,S,S,I,R
PDT001986248.1,SAMN38228829,GCA_033726535.1,R,S,R,R,R,S,S,S,S,R,S,S
PDT001986249.1,SAMN38228828,GCA_033726555.1,S,S,S,R,R,S,S,S,S,S,S,S
PDT001986250.2,SAMN38228810,GCA_034514775.1,S,S,S,S,R,R,S,R,S,S,S,R
PDT002035944.2,SAMN38228863,GCA_034515765.1,I,S,S,S,R,R,R,R,S,R,R,S
PDT002035965.1,SAMN38228878,GCA_034516655.1,S,S,S,S,R,S,S,I,S,R,S,S
