SMILES,pka_value,FractionCSP3,EState_VSA10,MinAbsPartialCharge,HallKierAlpha,MaxEStateIndex,SMR_VSA10,VSA_EState2,VSA_EState8,fr_nitro,fr_nitro_arom,SMR_VSA6,PEOE_VSA2,SMR_VSA5,BCUT2D_LOGPLOW,PEOE_VSA13,NumHeteroatoms,SMR_VSA7,SMR_VSA1,SlogP_VSA10,BCUT2D_CHGLO,BertzCT,BCUT2D_MRHI,SPS,fr_ketone,fr_ketone_Topliss,SlogP_VSA5,fr_benzene,VSA_EState7,TPSA,NumAromaticRings,EState_VSA6,EState_VSA1,NOCount,fr_C_O,fr_nitro_arom_nonortho,MinEStateIndex,VSA_EState3,EState_VSA8
Cc1cccc(NC2CCc3ccccc32)c1,2.49,0.25,0.0,0.0519241387841976,-1.7599999999999998,3.6378703703703694,5.687386274683562,0.0,2.1327128212396067,0,0,5.316788604006331,0.0,25.807221274690605,-2.063704934694583,0.0,1,65.22129102278387,0.0,5.687386274683562,-2.154170722608045,530.5533173882956,5.492373956246703,17.823529411764707,0,0,29.15301692716496,2,2.39577806122449,12.03,2,0.0,0.0,1,0,0,0.4796296296296295,3.6378703703703694,60.77146235138983
Cc1cccc([N+](=O)[O-])c1N,-0.71,0.1428571428571428,10.114318268765572,0.2918766334233906,-1.5799999999999998,10.299537037037036,11.374772549367124,9.815740740740742,1.7384259259259258,1,1,5.733667477162185,10.114318268765572,6.923737199690624,-1.964105007330628,5.687386274683562,4,33.876870965847395,4.923311048817671,11.374772549367124,-1.9804372342540555,296.4920897763861,5.617990752143645,9.545454545454543,0,0,5.563451491696996,1,0.0,69.16,1,19.056471336613843,4.923311048817671,4,0,0,-0.4837962962962958,10.299537037037036,0.0
Cc1cccc2c(N)ccc(C)c12,4.42,0.1666666666666666,0.0,0.0393511516512055,-1.4999999999999996,5.8939814814814815,16.459834703613154,0.0,4.239629629629629,0,0,5.733667477162185,0.0,13.847474399381248,-1.8958977683410092,0.0,1,41.45873832570204,0.0,5.687386274683562,-2.070458190028194,449.62628452437946,5.96499283608166,10.615384615384617,0,0,11.126902983393991,2,0.0,26.02,2,0.0,0.0,1,0,0,0.8650925925925929,2.4606481481481484,32.04657560476608
Cc1cccc2c(N)nc3ccccc3c12,7.51,0.0714285714285714,0.0,0.1315076750967002,-2.0899999999999994,5.980075585789871,27.49323613884568,4.422685185185185,2.1053703703703706,0,0,5.733667477162185,0.0,6.923737199690624,-1.9375095647025904,0.0,2,48.02802097092827,0.0,5.817862777835028,-2.0788703230048897,686.695477667872,6.106139805609843,11.0625,0,0,5.563451491696996,2,0.0,38.91,3,0.0,0.0,2,0,0,0.6087037037037037,3.425092592592593,24.04044985756105
Cc1cccc2cc(N)cc(C)c12,4.27,0.1666666666666666,0.0,0.0322594661442372,-1.5,5.774780801209372,16.459834703613154,0.0,4.233350340136054,0,0,5.733667477162185,0.0,13.847474399381248,-1.8828776260962723,0.0,1,41.45873832570204,0.0,5.687386274683562,-2.0609095801780595,457.8762845243794,5.905253864619662,10.615384615384617,0,0,11.126902983393991,2,0.0,26.02,2,0.0,0.0,1,0,0,0.8431481481481483,2.5640740740740746,32.04657560476608
Cc1cccc2cccnc12,4.755,0.1,0.0,0.0730564981094422,-1.37,4.2807407407407405,10.902924932081056,4.2807407407407405,2.078703703703704,0,0,0.0,4.9839785209472085,6.923737199690624,-1.7966463409391324,0.0,1,42.09213040561812,0.0,0.0,-1.9725827475747075,374.0344903986784,5.805824848505254,10.272727272727272,0,0,5.563451491696996,1,1.828703703703704,12.89,2,0.0,0.0,1,0,0,1.1064814814814816,1.215277777777778,36.17318399448427
Cc1cccc2nc(N)c3cccc(C)c3c12,7.91,0.1333333333333333,0.0,0.1315080513949489,-2.0899999999999994,6.030151171579743,27.49323613884568,4.483518518518518,4.235850340136055,0,0,5.733667477162185,0.0,13.847474399381248,-1.951345587966889,0.0,2,47.52510539416365,0.0,5.817862777835028,-2.102854847400952,729.6461002345158,6.119733790519236,11.176470588235292,0,0,11.126902983393991,2,0.0,38.91,3,0.0,0.0,2,0,0,0.6127777777777779,3.495092592592593,30.964187057251674
Cc1cccc2nc(N)c3ccccc3c12,7.49,0.0714285714285714,0.0,0.1314978951607045,-2.0899999999999994,5.961262282690854,27.49323613884568,4.442407407407407,2.103813303099017,0,0,5.733667477162185,0.0,6.923737199690624,-1.9359694251717696,0.0,2,48.02802097092827,0.0,5.817862777835028,-2.0761623288161988,686.695477667872,6.104001514008592,11.0625,0,0,5.563451491696996,2,0.0,38.91,3,0.0,0.0,2,0,0,0.605277777777778,3.416388888888889,24.04044985756105
Cc1cccc2ncccc12,4.62,0.1,0.0,0.0704104306122514,-1.37,4.242037037037037,10.902924932081056,4.242037037037037,2.101203703703704,0,0,0.0,4.9839785209472085,6.923737199690624,-1.7881621938593963,0.0,1,42.09213040561812,0.0,0.0,-1.974563263397521,374.0344903986784,5.809616151895316,10.272727272727272,0,0,5.563451491696996,1,1.821203703703704,12.89,2,0.0,0.0,1,0,0,1.076388888888889,1.2453703703703705,24.04044985756105
Cc1ccccc1C(N)=NO,3.99,0.125,0.0,0.1698520200537232,-1.51,8.375614134542705,5.835619785757269,0.0,1.9100925925925925,0,0,0.0,0.0,6.923737199690624,-2.1366895231237537,0.0,3,35.392371257240434,5.20725302477729,0.0,-2.0040473386727475,281.17547657141216,5.97720419469255,11.545454545454543,0,0,11.126902983393991,1,0.0,58.61,1,0.0,0.0,3,0,0,0.1556481481481484,11.289595616024188,5.15571272675054
Cc1ccccc1C=O,-6.5,0.125,4.794537184071822,0.1498150948923804,-1.11,10.227314814814816,6.286160523129555,10.227314814814816,1.9203703703703705,0,0,0.0,4.794537184071822,6.923737199690624,-1.8172551752226236,0.0,1,35.392371257240434,4.794537184071822,0.0,-1.919833386788591,215.5625495565008,5.762793833052678,9.0,0,0,15.921440167465814,1,0.8703703703703702,17.07,1,0.0,0.0,1,1,0,0.7754629629629631,0.0,0.0
